word,weight;
ringkus,-5.0;
besar,-2.0;
diketawain,-4.0;
nyeri,-4.0;
hack,-4.0;
terminasi,-3.0;
lupa,-3.0;
dikangenin,-2.0;
gapuk,-3.0;
bendung,-3.0;
nyerah,-3.0;
rebut,-3.0;
edan,-3.0;
jerit,-3.0;
rampas,-4.0;
nabrak,-4.0;
tilap,-4.0;
pekik,-5.0;
ngiler,-3.0;
maghrib,-2.0;
catut,-3.0;
caplok,-3.0;
ramal,-2.0;
ingat,-2.0;
bopong,-3.0;
seksi,-3.0;
addict,-3.0;
fail,-5.0;
endus,-3.0;
pendek,-2.0;
duet,-2.0;
guram,-2.0;
usir,-4.0;
tekan mental,-4.0;
hiruk,-4.0;
mewek,-5.0;
trauma,-5.0;
unmood,-3.0;
bekap,-3.0;
bajak,-4.0;
week,-4.0;
goda,-3.0;
gajih,-2.0;
bolos,-3.0;
hiruk pikuk,-3.0;
gugur,-3.0;
umbar,-3.0;
kabut,-3.0;
layuh,-3.0;
lain,-4.0;
unfollow,-2.0;
risiko,-3.0;
dingin,-3.0;
ancam,-4.0;
batuk,-4.0;
sembarang,-4.0;
ngadepin,-2.0;
dalang,-3.0;
geger,-3.0;
acau,-4.0;
pinggul,-3.0;
tidak biasa,-2.0;
redup,-3.0;
kentut,-2.0;
mainin,-2.0;
musuh,-4.0;
qada,-2.0;
gabakal,-4.0;
abu abu,-2.0;
hoax,-5.0;
emergensi,-4.0;
muak,-5.0;
mual,-5.0;
acak acak,-5.0;
close,-2.0;
tegur,-3.0;
ribut,-4.0;
tbc,-3.0;
shy,-3.0;
cemas,-3.0;
paranormal,-2.0;
recok,-3.0;
demo,-3.0;
lost,-3.0;
gangguin,-3.0;
melankolis,-2.0;
kabur,-2.0;
protes,-3.0;
usil,-3.0;
jealous,-3.0;
tular,-4.0;
grogi,-4.0;
batuk kering,-3.0;
pasrah,-2.0;
,-3.0;
sengal sengal,-4.0;
kejut,-3.0;
gelegak,-3.0;
malapateka,-3.0;
debar,-3.0;
gede,-2.0;
muram,-4.0;
sotoy,-4.0;
derai,-3.0;
nyalahin,-4.0;
mafia,-5.0;
sambat,-3.0;
enek,-4.0;
gaakan,-2.0;
kapah kapah,-2.0;
gerecok,-4.0;
kolera,-4.0;
ganjal,-3.0;
guncang,-2.0;
tanda,-2.0;
sogok,-4.0;
simpang,-4.0;
selamat tinggal,-3.0;
simbah,-3.0;
saum,-2.0;
cacing karawit,-3.0;
ringkas,-2.0;
yalord,-2.0;
cemeti dewa,-2.0;
nyesal,-4.0;
narkotika,-4.0;
syedi,-4.0;
standar,-2.0;
sekali,-2.0;
banget,-2.0;
gagah,-1.0;
sunu,-2.0;
neng,-1.0;
kuyup,-3.0;
alami,-3.0;
kelir,-3.0;
tata,-2.0;
gundik,-2.0;
luka,-5.0;
belia,-2.0;
album,-2.0;
comel,-1.0;
asuh,-2.0;
alah,-4.0;
enak,-4.0;
geluncur,-3.0;
remaja,-2.0;
akuan,-3.0;
image,-2.0;
bawain,-3.0;
puasa,-2.0;
kerut,-2.0;
cacing jantung,-4.0;
cacing ginjal,-4.0;
brutal,-5.0;
hamster,-3.0;
diajarin,-3.0;
luda,-3.0;
giniin,-2.0;
suap,-3.0;
tetiba,-3.0;
tebat,-3.0;
tebak,-2.0;
amatin,-2.0;
diliatin,-3.0;
mirip,-2.0;
cacing gilig,-4.0;
api,-2.0;
senonoh,-5.0;
garuk,-3.0;
bisain,-2.0;
timang,-1.0;
insane,-4.0;
sambal,-2.0;
gjd,-3.0;
kualat,-4.0;
selulur,-2.0;
gersang,-3.0;
tolak,-4.0;
jilat jilat,-2.0;
jahatin,-3.0;
cacing hati,-2.0;
babu,-5.0;
timpa,-3.0;
kontroversi,-4.0;
mblo,-3.0;
tidak kuat,-3.0;
poor,-4.0;
mata mata,-3.0;
kenapaaa,-3.0;
pikul,-2.0;
lau,-2.0;
gelicik,-3.0;
jilat,-3.0;
selir,-4.0;
yaoi,-5.0;
idam,-2.0;
napsu,-3.0;
zalim,-5.0;
gelingsir,-3.0;
bau kencur,-4.0;
alergi,-3.0;
kodok,-2.0;
drop,-3.0;
dikit,-3.0;
belikan,-1.0;
sundut,-3.0;
pataka,-3.0;
siapa,-2.0;
mahh,-3.0;
gamungkin,-3.0;
matiin,-2.0;
bantah,-3.0;
kenapa,-3.0;
lagak,-2.0;
cacing gila,-4.0;
eek,-5.0;
malesin,-4.0;
anak bawang,-2.0;
dinistain,-4.0;
yahhh,-3.0;
loloh,-3.0;
bokep,-5.0;
jahat,-4.0;
