Tanggal,Waktu,Link,Nama Akun,Komentar,Tipe
2022-01-07,01:27:25,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzEEr083KtMufQiuBp4AaABAg,@panda-iz1re,SEMOGA aku bisa lulus snmptn atau sbmptn unnes 2022 amiiinnn,Komentar
2021-12-29,12:45:41,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgywARxsy_5KIAqPCYp4AaABAg,@athayahafshah398,unnes tuh gedungnya pisah pisah gt ya? beda daerah ga sie?,Komentar
2021-11-26,05:02:27,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyT5Jm2mPImQ3PrNfp4AaABAg,@grasshenvi7062,"BISMILLAH MABA UNNES 2022..
UNNES TUNGGU AKU YAA 😭🙏",Komentar
2021-10-31,17:50:57,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzoVZBVaXHK2N-N-oR4AaABAg,@singgih8213849,keren ...,Komentar
2021-10-29,01:54:01,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxOpVuzfJ7bXPSD6u94AaABAg,@nadyaafifa9050,bismillah unnes 2022,Komentar
2021-11-23,20:57:57,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxOpVuzfJ7bXPSD6u94AaABAg.9U3_EIYVfb59V6-0bshHSN,@zakiarkana1392,UNNES ada cerita horornya ya,Balasan
2021-10-18,03:02:13,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwgWKnc9OMaZ3xWFS14AaABAg,@mbuhgareti,Fk blm ada yh😪,Komentar
2021-10-12,09:35:55,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwQ81mcquVpKpkcvzN4AaABAg,@MJSammy_,"Untuk menunjang Kampus Sekaran sebagai pendukung kemajemukan, seyogyanya nggak hanya masjid yang difasilitasi, tapi juga tempat ibadah umat lain. 
Mwehehe, turima kasih.",Komentar
2021-10-12,08:53:51,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxJ8FEE_Oe-whSWwlt4AaABAg,@pojokngguritv,Penghuni dan mantan penghuni pendopo  seni fbs mana  suaranya.....,Komentar
2021-10-06,13:57:44,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxEM8ptLQGzURTmB1J4AaABAg,@SulthonKhoirul,Kayak video profil dong coy keren,Komentar
